Datum; Uhrzeit;Gesamtanzahl; Anz_Trainingsdaten; Anz_Testdaten; n-Runde; Erfolgsrate; Beispiel-Fehler; Standardabweichung; Konfidenzintervall-Unten; Konfidenzintervall-Oben;Anz_Trainingsdaten; Anz_Epoch; Anz_Perceptron; Anz_IMGVectoren; Anz_GridCols; Anz_GridRows;Erf_Stop; Erf_VorVrechts; Erf_VorVgewahren; Erf_FahrLinks; Erf_FahrRechts; Erf_Vorfahrsstr
2025-01-15; 13:22:51; 43345; 26007; 17337; 26; 0,8039; 0,1961; 0,0030; 0,7980; 0,8098; 26007; 400; 3; 245; 7; 7; 0,8585; 0,8627;0,8815; 0,7527;0,5275; 0,9328; 
2025-01-15; 13:24:10; 43345; 26007; 17337; 27; 0,8043; 0,1957; 0,0030; 0,7984; 0,8102; 26007; 400; 3; 245; 7; 7; 0,8988; 0,7052;0,8582; 0,6117;0,8261; 0,9244; 
2025-01-15; 13:25:26; 43345; 26007; 17337; 28; 0,7904; 0,2096; 0,0031; 0,7844; 0,7965; 26007; 400; 3; 245; 7; 7; 0,8293; 0,9081;0,7877; 0,6418;0,5818; 0,9986; 
2025-01-15; 13:26:44; 43345; 26007; 17337; 29; 0,8031; 0,1969; 0,0030; 0,7972; 0,8091; 26007; 400; 3; 245; 7; 7; 0,8548; 0,8130;0,7692; 0,8279;0,6229; 0,9273; 
2025-01-15; 13:28:00; 43345; 26007; 17337; 30; 0,7934; 0,2066; 0,0031; 0,7874; 0,7994; 26007; 400; 3; 245; 7; 7; 0,8897; 0,7811;0,8149; 0,5764;0,7713; 0,9244; 
2025-01-15; 13:29:16; 43345; 26007; 17337; 31; 0,8097; 0,1903; 0,0030; 0,8038; 0,8155; 26007; 400; 3; 245; 7; 7; 0,8477; 0,7537;0,8813; 0,6848;0,7615; 0,9289; 
2025-01-15; 13:30:39; 43345; 26007; 17337; 32; 0,8037; 0,1963; 0,0030; 0,7977; 0,8096; 26007; 400; 3; 245; 7; 7; 0,8284; 0,7992;0,8201; 0,8666;0,5790; 0,9270; 
2025-01-15; 13:31:55; 43345; 26007; 17337; 33; 0,7542; 0,2458; 0,0033; 0,7478; 0,7606; 26007; 400; 3; 245; 7; 7; 0,8232; 0,7983;0,8968; 0,6689;0,4074; 0,9323; 
2025-01-15; 13:33:16; 43345; 26007; 17337; 34; 0,7701; 0,2299; 0,0032; 0,7639; 0,7764; 26007; 400; 3; 245; 7; 7; 0,9178; 0,7355;0,8570; 0,2672;0,9176; 0,9240; 
2025-01-15; 13:34:38; 43345; 26007; 17337; 35; 0,7757; 0,2243; 0,0032; 0,7695; 0,7819; 26007; 400; 3; 245; 7; 7; 0,8804; 0,8617;0,7435; 0,7057;0,5340; 0,9263; 
2025-01-15; 13:35:55; 43345; 26007; 17337; 36; 0,7979; 0,2021; 0,0030; 0,7919; 0,8039; 26007; 400; 3; 245; 7; 7; 0,8408; 0,8707;0,8616; 0,8624;0,4203; 0,9330; 
2025-01-15; 13:37:25; 43345; 26007; 17337; 37; 0,7868; 0,2132; 0,0031; 0,7807; 0,7929; 26007; 400; 3; 245; 7; 7; 0,8533; 0,7044;0,8898; 0,5622;0,7765; 0,9320; 
2025-01-15; 13:38:41; 43345; 26007; 17337; 38; 0,7908; 0,2092; 0,0031; 0,7847; 0,7968; 26007; 400; 3; 245; 7; 7; 0,8812; 0,7752;0,8512; 0,4369;0,8825; 0,9231; 
2025-01-15; 13:40:04; 43345; 26007; 17337; 39; 0,7694; 0,2306; 0,0032; 0,7631; 0,7757; 26007; 400; 3; 245; 7; 7; 0,5924; 0,7959;0,9137; 0,5198;0,7907; 0,9997; 
2025-01-15; 13:41:21; 43345; 26007; 17337; 40; 0,8057; 0,1943; 0,0030; 0,7998; 0,8116; 26007; 400; 3; 245; 7; 7; 0,7873; 0,7959;0,9094; 0,5874;0,8207; 0,9312; 
2025-01-15; 13:42:37; 43345; 26007; 17337; 41; 0,7896; 0,2104; 0,0031; 0,7835; 0,7957; 26007; 400; 3; 245; 7; 7; 0,7753; 0,8232;0,7544; 0,7622;0,6215; 0,9986; 
2025-01-15; 13:44:09; 43345; 26007; 17337; 42; 0,8197; 0,1803; 0,0029; 0,8140; 0,8254; 26007; 400; 3; 245; 7; 7; 0,8851; 0,8427;0,8487; 0,7389;0,6024; 0,9993; 
2025-01-15; 13:45:26; 43345; 26007; 17337; 43; 0,8237; 0,1763; 0,0029; 0,8181; 0,8294; 26007; 400; 3; 245; 7; 7; 0,8791; 0,8048;0,8702; 0,6429;0,7425; 0,9993; 
2025-01-15; 13:46:50; 43345; 26007; 17337; 44; 0,7910; 0,2090; 0,0031; 0,7849; 0,7970; 26007; 400; 3; 245; 7; 7; 0,8505; 0,9170;0,7908; 0,6637;0,5860; 0,9294; 
2025-01-15; 13:48:08; 43345; 26007; 17337; 45; 0,7731; 0,2269; 0,0032; 0,7669; 0,7793; 26007; 400; 3; 245; 7; 7; 0,7245; 0,8977;0,8136; 0,7381;0,5359; 0,9303; 
2025-01-15; 13:49:25; 43345; 26007; 17337; 46; 0,7877; 0,2123; 0,0031; 0,7817; 0,7938; 26007; 400; 3; 245; 7; 7; 0,8153; 0,8900;0,9007; 0,5664;0,6298; 0,9265; 
2025-01-15; 13:50:43; 43345; 26007; 17337; 47; 0,8128; 0,1872; 0,0030; 0,8070; 0,8186; 26007; 400; 3; 245; 7; 7; 0,9087; 0,8165;0,8010; 0,8663;0,5583; 0,9308; 
2025-01-15; 13:51:59; 43345; 26007; 17337; 48; 0,8222; 0,1778; 0,0029; 0,8165; 0,8279; 26007; 400; 3; 245; 7; 7; 0,8825; 0,8656;0,9153; 0,6559;0,6840; 0,9266; 
2025-01-15; 13:53:27; 43345; 26007; 17337; 49; 0,8120; 0,1880; 0,0030; 0,8062; 0,8178; 26007; 400; 3; 245; 7; 7; 0,9171; 0,8612;0,8042; 0,6787;0,6766; 0,9283; 
2025-01-15; 13:54:44; 43345; 26007; 17337; 50; 0,8061; 0,1939; 0,0030; 0,8003; 0,8120; 26007; 400; 3; 245; 7; 7; 0,8294; 0,8049;0,8811; 0,5928;0,8099; 0,9277; 
2025-01-15; 13:56:02; 43345; 26007; 17337; 51; 0,8117; 0,1883; 0,0030; 0,8059; 0,8176; 26007; 400; 3; 245; 7; 7; 0,9014; 0,7595;0,8354; 0,5945;0,8434; 0,9281; 
2025-01-15; 13:57:19; 43345; 26007; 17337; 52; 0,7425; 0,2575; 0,0033; 0,7359; 0,7490; 26007; 400; 3; 245; 7; 7; 0,8182; 0,8692;0,7426; 0,9194;0,1692; 0,9259; 
2025-01-15; 13:58:36; 43345; 26007; 17337; 53; 0,7827; 0,2173; 0,0031; 0,7765; 0,7888; 26007; 400; 3; 245; 7; 7; 0,9360; 0,7005;0,8217; 0,4400;0,8674; 0,9322; 
2025-01-15; 14:00:05; 43345; 26007; 17337; 54; 0,7825; 0,2175; 0,0031; 0,7764; 0,7887; 26007; 400; 3; 245; 7; 7; 0,8618; 0,9139;0,8122; 0,8374;0,3373; 0,9243; 
2025-01-15; 14:01:21; 43345; 26007; 17337; 55; 0,7711; 0,2289; 0,0032; 0,7649; 0,7774; 26007; 400; 3; 245; 7; 7; 0,9115; 0,6717;0,7098; 0,7949;0,5978; 0,9305; 
2025-01-15; 14:02:42; 43345; 26007; 17337; 56; 0,7861; 0,2139; 0,0031; 0,7800; 0,7922; 26007; 400; 3; 245; 7; 7; 0,8361; 0,7307;0,8347; 0,5270;0,8598; 0,9252; 
2025-01-15; 14:03:58; 43345; 26007; 17337; 57; 0,8120; 0,1880; 0,0030; 0,8062; 0,8178; 26007; 400; 3; 245; 7; 7; 0,7872; 0,8825;0,8521; 0,7766;0,6439; 0,9280; 
2025-01-15; 14:05:15; 43345; 26007; 17337; 58; 0,7798; 0,2202; 0,0031; 0,7737; 0,7860; 26007; 400; 3; 245; 7; 7; 0,9719; 0,7377;0,8166; 0,7520;0,4601; 0,9326; 
2025-01-15; 14:06:46; 43345; 26007; 17337; 59; 0,7972; 0,2028; 0,0031; 0,7912; 0,8032; 26007; 400; 3; 245; 7; 7; 0,8838; 0,7542;0,7495; 0,7428;0,7261; 0,9239; 
2025-01-15; 14:08:03; 43345; 26007; 17337; 60; 0,7978; 0,2022; 0,0031; 0,7919; 0,8038; 26007; 400; 3; 245; 7; 7; 0,8091; 0,7799;0,7955; 0,6784;0,7967; 0,9287; 
2025-01-15; 14:09:25; 43345; 26007; 17337; 61; 0,7950; 0,2050; 0,0031; 0,7890; 0,8010; 26007; 400; 3; 245; 7; 7; 0,8192; 0,8928;0,8281; 0,7631;0,5449; 0,9238; 
2025-01-15; 14:10:42; 43345; 26007; 17337; 62; 0,7911; 0,2089; 0,0031; 0,7851; 0,7972; 26007; 400; 3; 245; 7; 7; 0,8063; 0,8523;0,8001; 0,7915;0,5681; 0,9294; 
2025-01-15; 14:11:57; 43345; 26007; 17337; 63; 0,7583; 0,2417; 0,0033; 0,7519; 0,7647; 26007; 400; 3; 245; 7; 7; 0,7383; 0,8882;0,7393; 0,6109;0,5680; 1,0000; 
2025-01-15; 14:13:26; 43345; 26007; 17337; 64; 0,7997; 0,2003; 0,0030; 0,7938; 0,8057; 26007; 400; 3; 245; 7; 7; 0,7243; 0,8100;0,8967; 0,5808;0,8555; 0,9288; 
2025-01-15; 14:14:40; 43345; 26007; 17337; 65; 0,7772; 0,2228; 0,0032; 0,7710; 0,7834; 26007; 400; 3; 245; 7; 7; 0,9700; 0,6446;0,8108; 0,4995;0,8057; 0,9310; 
